,Mail_Type,Mail_Message,transformed_text
0,ham,go until jurong point  crazy   available only in bugis n great world la e buffet    cine there got amore wat   ,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
1,ham,ok lar    joking wif u oni   ,ok lar joke wif u oni
2,spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri question std txt rate c appli 08452810075over18
3,ham,u dun say so early hor    u c already then say   ,u dun say earli hor u c alreadi say
4,ham,nah i don t think he goes to usf  he lives around here though,nah think goe usf live around though
5,spam,freemsg hey there darling it s been 3 week s now and no word back  i d like some fun you up for it still  tb ok  xxx std chgs to send    1 50 to rcv,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send 1 50 rcv
6,ham,even my brother is not like to speak with me  they treat me like aids patent ,even brother like speak treat like aid patent
7,ham,as per your request  melle melle  oru minnaminunginte nurungu vettam   has been set as your callertune for all callers  press  9 to copy your friends callertune,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
8,spam,winner   as a valued network customer you have been selected to receivea   900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only ,winner valu network custom select receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour
9,spam,had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera for free  call the mobile update co free on 08002986030,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
10,ham,i m gonna be home soon and i don t want to talk about this stuff anymore tonight  k  i ve cried enough today ,gon na home soon want talk stuff anymor tonight k cri enough today
11,spam,six chances to win cash  from 100 to 20 000 pounds txt  csh11 and send to 87575  cost 150p day  6days  16  tsandcs apply reply hl 4 info,six chanc win cash 100 20 000 pound txt csh11 send 87575 cost 150p day 6day 16 tsandc appli repli hl 4 info
12,spam,urgent  you have won a 1 week free membership in our   100 000 prize jackpot  txt the word  claim to no  81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18,urgent 1 week free membership 100 000 prize jackpot txt word claim 81010 c www dbuk net lccltd pobox 4403ldnw1a7rw18
13,ham,i ve been searching for the right words to thank you for this breather  i promise i wont take your help for granted and will fulfil my promise  you have been wonderful and a blessing at all times ,search right word thank breather promis wont take help grant fulfil promis wonder bless time
14,ham,i have a date on sunday with will  ,date sunday
15,spam,xxxmobilemovieclub  to use your credit  click the wap link in the next txt message or click here   http   wap  xxxmobilemovieclub com n qjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,ham,oh k   i m watching here  ,oh k watch
17,ham,eh u remember how 2 spell his name    yes i did  he v naughty make until i v wet ,eh u rememb 2 spell name ye v naughti make v wet
18,ham,fine if that  s the way u feel  that  s the way its gota b,fine way u feel way gota b
19,spam,england v macedonia   dont miss the goals team news  txt ur national team to 87077 eg england to 87077 try wales  scotland 4txt   1 20 poboxox36504w45wq 16 ,england v macedonia dont miss goal team news txt ur nation team 87077 eg england 87077 tri wale scotland 4txt 1 20 poboxox36504w45wq 16
20,ham,is that seriously how you spell his name ,serious spell name
21,ham,i   m going to try for 2 months ha ha only joking,go tri 2 month ha ha joke
22,ham,so    pay first lar    then when is da stock comin   ,pay first lar da stock comin
23,ham,aft i finish my lunch then i go str down lor  ard 3 smth lor  u finish ur lunch already ,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
24,ham,ffffffffff  alright no way i can meet up with you sooner ,ffffffffff alright way meet sooner
25,ham,just forced myself to eat a slice  i m really not hungry tho  this sucks  mark is getting worried  he knows i m sick when i turn down pizza  lol,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26,ham,lol your always so convincing ,lol alway convinc
27,ham,did you catch the bus   are you frying an egg   did you make a tea  are you eating your mom s left over dinner   do you feel my love  ,catch bu fri egg make tea eat mom left dinner feel love
